AÑO;MES;ESTACION_DE_MEDICION;CCAA;PROVINCIA;PRECIPITACION_ACUMULADA;INTENSIDAD_MAXIMA_PRECIPITACION
2015;10;A CAÑIZA;Galicia;Pontevedra;300,4;480
2015;10;A CORUÑA;Galicia;A Coruña;123,4;156
2015;10;A ESTRADA;Galicia;Pontevedra;239,7;420
2015;10;A LAMA;Galicia;Pontevedra;260,4;456
2015;10;ABADIÑO, URKIOLA;País Vasco;Bizkaia;71,5;240
2015;10;ABANILLA;Región de Murcia;Murcia;8,4;192
2015;10;ABIA DE OBISPALIA;Castilla - La Mancha;Cuenca;3,4;24
2015;10;ABLA;Andalucía;Almería;25,7;72
2015;10;ADEJE-CALDERA B;Canarias;Santa Cruz de Tenerife;83,0;684
2015;10;ADEMUZ;Comunitat Valenciana;Valencia/València;19,2;60
2015;10;ADRA,CLUB NAÚTICO;Andalucía;Almería;97,0;534
2015;10;AGAETE-CASCO;Canarias;Las Palmas;113,4;516
2015;10;AGUAS DE CABREIROA;Galicia;Ourense;116,5;132
2015;10;AGUILAR (LAGUNA ZOÑAR AUTOMATICA);Andalucía;Córdoba;21,2;84
2015;10;AGUILAR DE CAMPOO;Castilla y León;Palencia;105,8;336
2015;10;AGULO-JUEGO BOLAS;Canarias;Santa Cruz de Tenerife;346,0;372
2015;10;AGURAIN/SALVATIERRA, OPAKUA;País Vasco;Araba/Álava;66,5;252
2015;10;AGÜIMES-EL MILANO;Canarias;Las Palmas;110,6;348
2015;10;ALAJAR, CABEZO MOLINOS;Andalucía;Huelva;207,0;576
2015;10;ALBACETE,OBS.;Castilla - La Mancha;Albacete;24,5;114
2015;10;ALBACETE/LOS LLANOS;Castilla - La Mancha;Albacete;31,0;210
2015;10;ALBARRACÍN;Aragón;Teruel;30,2;108
2015;10;ALBOX;Andalucía;Almería;44,2;744
2015;10;ALBURQUERQUE;Extremadura;Badajoz;147,9;480
2015;10;ALCALA DE HENARES-ENCÍN;Comunidad de Madrid;Madrid;11,4;60
2015;10;ALCAZAR DE SAN JUAN;Castilla - La Mancha;Ciudad Real;30,6;204
2015;10;ALCAÑICES-VIVINERA;Castilla y León;Zamora;144,3;348
2015;10;ALCAÑIZ;Aragón;Teruel;4,1;18
2015;10;ALCONCHEL (AUTOMATICA);Extremadura;Badajoz;126,4;540
2015;10;ALCOY;Comunitat Valenciana;Alicante/Alacant;22,8;228
2015;10;ALCUESCAR;Extremadura;Cáceres;97,0;228
2015;10;ALDEANUEVA DE SERREZUELA-EL CERRO;Castilla y León;Segovia;34,4;132
2015;10;ALFARO, AYUNTAMIENTO;La Rioja;La Rioja;15,0;132
2015;10;ALFORJA;Cataluña;Tarragona;40,6;1308
2015;10;ALGARROBO (LA MAYORA - AUTOMATICA);Andalucía;Málaga;58,6;336
2015;10;ALHAMA (COMARZA - AUT.);Región de Murcia;Murcia;15,8;156
2015;10;ALHAMA DE ARAGÓN, DEPÓSITO;Aragón;Zaragoza;36,2;228
2015;10;ALICANTE;Comunitat Valenciana;Alicante/Alacant;48,0;288
2015;10;ALICANTE-ELCHE/AEROPUERTO;Comunitat Valenciana;Alicante/Alacant;76,0;1164
