AÑO;MES;ESTACION_DE_MEDICION;CCAA;PROVINCIA;TEMPERATURA_MINIMA;TEMPERATURA_MAXIMA;TEMPERATURA_MEDIA
2015;10;A CAÑIZA;Galicia;Pontevedra;5,5;23,7;14,142
2015;10;A CORUÑA;Galicia;A Coruña;9,2;24,3;16,411
2015;10;A CORUÑA/ALVEDRO;Galicia;A Coruña;4,5;26,7;16,142
2015;10;A ESTRADA;Galicia;Pontevedra;5,1;25,6;14,622
2015;10;A LAMA;Galicia;Pontevedra;3,8;23,4;14,534
2015;10;ABADIÑO, URKIOLA;País Vasco;Bizkaia;1,3;23,4;12,047
2015;10;ABANILLA;Región de Murcia;Murcia;9,4;31,3;19,984
2015;10;ABENOJAR (AUTOMATICA);Castilla - La Mancha;Ciudad Real;8,7;25,6;16,603
2015;10;ABIA DE OBISPALIA;Castilla - La Mancha;Cuenca;0,9;21,9;12,925
2015;10;ABLA;Andalucía;Almería;9,1;30,5;17,715
2015;10;ADEJE-CALDERA B;Canarias;Santa Cruz de Tenerife;16,9;32,7;23,947
2015;10;ADEMUZ;Comunitat Valenciana;Valencia/València;-1,0;25,6;14,245
2015;10;ADRA,CLUB NAÚTICO;Andalucía;Almería;15,3;28,7;21,455
2015;10;AGAETE-CASCO;Canarias;Las Palmas;17,7;30,0;24,371
2015;10;AGUAS DE CABREIROA;Galicia;Ourense;-0,5;27,6;14,053
2015;10;AGUILAR (LAGUNA ZOÑAR AUTOMATICA);Andalucía;Córdoba;11,3;29,7;19,744
2015;10;AGUILAR DE CAMPOO;Castilla y León;Palencia;-2,5;21,0;10,979
2015;10;AGULO-JUEGO BOLAS;Canarias;Santa Cruz de Tenerife;12,5;32,6;18,865
2015;10;AGURAIN/SALVATIERRA, OPAKUA;País Vasco;Araba/Álava;0,4;24,6;12,666
2015;10;AGÜIMES-EL MILANO;Canarias;Las Palmas;16,3;32,9;22,648
2015;10;ALAJAR, CABEZO MOLINOS;Andalucía;Huelva;9,3;28,6;17,069
2015;10;ALBACETE,OBS.;Castilla - La Mancha;Albacete;4,2;26,8;16,663
2015;10;ALBACETE/LOS LLANOS;Castilla - La Mancha;Albacete;3,0;26,0;15,787
2015;10;ALBARRACÍN;Aragón;Teruel;-2,4;22,0;11,86
2015;10;ALBERCA DE ZANCARA;Castilla - La Mancha;Cuenca;3,7;25,1;14,398
2015;10;ALBORÁN,ISLA;Andalucía;Almería;18,5;20,3;19,475
2015;10;ALBOX;Andalucía;Almería;9,0;34,1;19,54
2015;10;ALBURQUERQUE;Extremadura;Badajoz;8,1;29,4;17,605
2015;10;ALCALA DE HENARES-ENCÍN;Comunidad de Madrid;Madrid;2,4;26,3;15,579
2015;10;ALCAZAR DE SAN JUAN;Castilla - La Mancha;Ciudad Real;5,4;26,5;17,072
2015;10;ALCAÑICES-VIVINERA;Castilla y León;Zamora;0,3;22,7;12,3
2015;10;ALCAÑIZ;Aragón;Teruel;2,4;26,6;15,06
2015;10;ALCONCHEL (AUTOMATICA);Extremadura;Badajoz;9,6;29,4;18,577
2015;10;ALCOY;Comunitat Valenciana;Alicante/Alacant;8,6;30,4;17,685
2015;10;ALCUESCAR;Extremadura;Cáceres;8,5;27,5;17,095
2015;10;ALDEANUEVA DE SERREZUELA-EL CERRO;Castilla y León;Segovia;2,3;21,9;12,405
2015;10;ALFARO, AYUNTAMIENTO;La Rioja;La Rioja;-0,9;27,9;14,344
2015;10;ALFORJA;Cataluña;Tarragona;5,4;27,4;15,519
2015;10;ALGARROBO (LA MAYORA - AUTOMATICA);Andalucía;Málaga;12,8;28,3;20,277
2015;10;ALHAMA (COMARZA - AUT.);Región de Murcia;Murcia;8,9;33,5;19,623
2015;10;ALHAMA DE ARAGÓN, DEPÓSITO;Aragón;Zaragoza;-0,1;25,8;14,602
2015;10;ALICANTE;Comunitat Valenciana;Alicante/Alacant;11,8;33,4;20,258
2015;10;ALICANTE-ELCHE/AEROPUERTO;Comunitat Valenciana;Alicante/Alacant;11,9;34,3;20,566
2015;10;ALISEDA, LA UMBRÍA;Extremadura;Cáceres;8,2;28,9;17,473
2015;10;ALLARIZ-ROIMELO;Galicia;Ourense;2,5;23,7;13,93
2015;10;ALMADEN PLATA (LAS NAVAS AUTOMATICA);Andalucía;Sevilla;10,4;29,6;17,581
2015;10;ALMAGRO / FAMET;Castilla - La Mancha;Ciudad Real;3,7;27,7;16,497
2015;10;ALMANSA;Castilla - La Mancha;Albacete;3,0;24,8;15,046
2015;10;ALMAZUL;Castilla y León;Soria;-1,7;23,8;12,2
2015;10;ALMENDRALEJO;Extremadura;Badajoz;9,0;28,8;17,808
2015;10;ALMERÍA/AEROPUERTO;Andalucía;Almería;14,1;28,3;21,071
2015;10;ALMONTE, DOÑANA;Andalucía;Huelva;9,4;31,9;19,506
2015;10;ALMUDÉVAR;Aragón;Huesca;0,1;25,6;14,784
2015;10;ALOSNO, THARSIS-MINAS;Andalucía;Huelva;9,8;29,1;18,569
2015;10;ALPANDEIRE;Andalucía;Málaga;10,0;29,8;17,489
2015;10;ALPEDRETE;Comunidad de Madrid;Madrid;3,6;23,0;14,452
2015;10;ALTAMIRA;Cantabria;Cantabria;4,3;26,3;15,39
2015;10;ALTO CAMPOO;Cantabria;Cantabria;8,2;13,3;10,4
2015;10;ALTO DE LOS LEONES;Castilla y León;Segovia;0,7;17,5;9,744
2015;10;AMIEVA, PANIZALES;Principado de Asturias;Asturias;4,2;26,4;15,276
2015;10;AMOREBIETA-ETXANO;País Vasco;Bizkaia;2,6;28,7;15,645
2015;10;AMURRIO;País Vasco;Araba/Álava;1,1;26,6;15,048
2015;10;ANAGA-COL. REP. ARGENTINA;Canarias;Santa Cruz de Tenerife;16,8;31,7;23,571
2015;10;ANDORRA, HORCALLANA;Aragón;Teruel;2,7;23,9;14,218
2015;10;ANDÚJAR;Andalucía;Jaén;6,7;31,5;18,835
2015;10;ANGUIANO, VALVANERA;La Rioja;La Rioja;-2,1;21,8;10,879
2015;10;ANTEQUERA AYUNTAMIENTO (AUTOMÁTICA THIES);Andalucía;Málaga;10,2;31,4;19,14
2015;10;ANTEQUERA-BOBADILLA;Andalucía;Málaga;9,4;31,7;19,488
2015;10;ARAGÜÉS DEL PUERTO, DEPÓSITO;Aragón;Huesca;-0,3;23,0;12,317
2015;10;ARAMAIO, ETXAGUEN;País Vasco;Araba/Álava;1,9;23,0;12,743
2015;10;ARANDA DE DUERO;Castilla y León;Burgos;-3,7;23,8;12,34
2015;10;ARANGUREN, ILUNDAIN;Comunidad Foral de Navarra;Navarra;0,0;22,8;13,169
2015;10;ARANJUEZ;Comunidad de Madrid;Madrid;0,5;27,0;16,316
2015;10;ARCHENA;Región de Murcia;Murcia;9,9;31,6;20,516
2015;10;ARCOS DE JALÓN-COEX;Castilla y León;Soria;0,6;22,5;13,162
2015;10;ARENOS-PANTANO;Comunitat Valenciana;Castellón/Castelló;6,2;25,7;15,668
2015;10;ARENYS DE MAR;Cataluña;Barcelona;10,0;29,9;17,94
2015;10;ARESO;Comunidad Foral de Navarra;Navarra;-0,3;24,6;13,485
2015;10;ARETXABALETA;País Vasco;Gipuzkoa;2,2;24,1;14,134
2015;10;AREVALO;Castilla y León;Ávila;-1,7;24,0;13,035
2015;10;ARGANDA DEL REY;Comunidad de Madrid;Madrid;3,0;27,2;16,283
2015;10;ARICO-DEPURADORA LA DEGOLLADA;Canarias;Santa Cruz de Tenerife;14,2;33,6;21,156
2015;10;AROCHE (MASERA - AUTOMATICA);Andalucía;Huelva;6,7;30,1;17,794
2015;10;ARRECIFE (GRANJA CABILDO);Canarias;Las Palmas;13,3;40,0;22,712
2015;10;ARROYO DEL OJANCO;Andalucía;Jaén;6,2;26,9;17,505
2015;10;ARTESA DE SEGRE;Cataluña;Lleida;0,6;26,9;14,685
2015;10;ARTÀ-MOLI DEN LEU;Illes Balears;Illes Balears;9,2;30,5;18,087
2015;10;ARUCAS-BAÑADEROS;Canarias;Las Palmas;16,7;32,5;22,876
