date,country,region_code,region_name,holiday_name,scope
2015-01-01,ES,AN,Andalucia,Año Nuevo,national
2015-01-01,ES,AR,Aragon,Año Nuevo,national
2015-01-01,ES,AS,Asturias,Año Nuevo,national
2015-01-01,ES,CB,Cantabria,Año Nuevo,national
2015-01-01,ES,CE,Ceuta,Año Nuevo,national
2015-01-01,ES,CL,Castilla y Leon,Año Nuevo,national
2015-01-01,ES,CM,Castilla-La Mancha,Año Nuevo,national
2015-01-01,ES,CN,Canarias,Año Nuevo,national
2015-01-01,ES,CT,Cataluna,Año Nuevo,national
2015-01-01,ES,ES,Espana,Año Nuevo,national
2015-01-01,ES,EX,Extremadura,Año Nuevo,national
2015-01-01,ES,GA,Galicia,Año Nuevo,national
2015-01-01,ES,IB,Illes Balears,Año Nuevo,national
2015-01-01,ES,MC,Murcia,Año Nuevo,national
2015-01-01,ES,MD,Madrid,Año Nuevo,national
2015-01-01,ES,ML,Melilla,Año Nuevo,national
2015-01-01,ES,NC,Navarra,Año Nuevo,national
2015-01-01,ES,PV,Pais Vasco,Año Nuevo,national
2015-01-01,ES,RI,La Rioja,Año Nuevo,national
2015-01-01,ES,VC,Comunitat Valenciana,Año Nuevo,national
2015-01-06,ES,AN,Andalucia,Epifanía del Señor,national
2015-01-06,ES,AR,Aragon,Epifanía del Señor,national
2015-01-06,ES,AS,Asturias,Epifanía del Señor,national
2015-01-06,ES,CB,Cantabria,Epifanía del Señor,national
2015-01-06,ES,CE,Ceuta,Epifanía del Señor,national
2015-01-06,ES,CL,Castilla y Leon,Epifanía del Señor,national
2015-01-06,ES,CM,Castilla-La Mancha,Epifanía del Señor,national
2015-01-06,ES,CN,Canarias,Epifanía del Señor,national
2015-01-06,ES,CT,Cataluna,Epifanía del Señor,national
2015-01-06,ES,ES,Espana,Epifanía del Señor,national
2015-01-06,ES,EX,Extremadura,Epifanía del Señor,national
2015-01-06,ES,GA,Galicia,Epifanía del Señor,national
2015-01-06,ES,IB,Illes Balears,Epifanía del Señor,national
2015-01-06,ES,MC,Murcia,Epifanía del Señor,national
2015-01-06,ES,MD,Madrid,Epifanía del Señor,national
2015-01-06,ES,ML,Melilla,Epifanía del Señor,national
2015-01-06,ES,NC,Navarra,Epifanía del Señor,national
2015-01-06,ES,PV,Pais Vasco,Epifanía del Señor,national
2015-01-06,ES,RI,La Rioja,Epifanía del Señor,national
2015-01-06,ES,VC,Comunitat Valenciana,Epifanía del Señor,national
2015-02-28,ES,AN,Andalucia,Día de Andalucía,regional
2015-03-19,ES,MC,Murcia,San José,regional
2015-03-19,ES,MD,Madrid,San José,regional
2015-03-19,ES,ML,Melilla,San José,regional
2015-03-19,ES,NC,Navarra,San José,regional
2015-03-19,ES,PV,Pais Vasco,San José,regional
2015-03-19,ES,VC,Comunitat Valenciana,San José,regional
2015-03-20,ES,GA,Galicia,Día siguiente a San José,regional
2015-04-02,ES,AN,Andalucia,Jueves Santo,regional
2015-04-02,ES,AR,Aragon,Jueves Santo,regional
2015-04-02,ES,AS,Asturias,Jueves Santo,regional
2015-04-02,ES,CB,Cantabria,Jueves Santo,regional
2015-04-02,ES,CE,Ceuta,Jueves Santo,regional
2015-04-02,ES,CL,Castilla y Leon,Jueves Santo,regional
2015-04-02,ES,CM,Castilla-La Mancha,Jueves Santo,regional
2015-04-02,ES,CN,Canarias,Jueves Santo,regional
2015-04-02,ES,EX,Extremadura,Jueves Santo,regional
2015-04-02,ES,GA,Galicia,Jueves Santo,regional
