year,month,year_month,airport_name,airport_normalized,province,passengers,operations,cargo_kg,source_file,source_sheet
2015,1,2015-01,A Coruna,A CORUNA,A Coruna,68847,1005,10918,01.Enero-Definitivo-2015.xls,ENERO
2015,1,2015-01,Adolfo Suarez Madrid-Barajas,ADOLFO SUAREZ MADRID-BARAJAS,Madrid,3148894,27257,27619855,01.Enero-Definitivo-2015.xls,ENERO
2015,1,2015-01,Albacete,ALBACETE,Albacete,182,46,0,01.Enero-Definitivo-2015.xls,ENERO
2015,1,2015-01,Alicante-Elche,ALICANTE-ELCHE,Alicante,498596,3879,179583,01.Enero-Definitivo-2015.xls,ENERO
2015,1,2015-01,Almeria,ALMERIA,Almeria,24992,568,647,01.Enero-Definitivo-2015.xls,ENERO
2015,1,2015-01,Asturias,ASTURIAS,Asturias,61476,630,3908,01.Enero-Definitivo-2015.xls,ENERO
2015,1,2015-01,Badajoz,BADAJOZ,Badajoz,2307,140,0,01.Enero-Definitivo-2015.xls,ENERO
2015,1,2015-01,Barcelona-El Prat,BARCELONA-EL PRAT,Barcelona,2203277,18317,7804990,01.Enero-Definitivo-2015.xls,ENERO
2015,1,2015-01,Bilbao,BILBAO,Bizkaia,230303,2736,208615,01.Enero-Definitivo-2015.xls,ENERO
2015,1,2015-01,Burgos,BURGOS,Burgos,738,124,0,01.Enero-Definitivo-2015.xls,ENERO
2015,1,2015-01,Ceuta-Helipuerto,CEUTA-HELIPUERTO,Ceuta,166,48,0,01.Enero-Definitivo-2015.xls,ENERO
2015,1,2015-01,Cordoba,CORDOBA,Cordoba,477,484,0,01.Enero-Definitivo-2015.xls,ENERO
2015,1,2015-01,El Hierro,EL HIERRO,Santa Cruz de Tenerife,10373,284,5749,01.Enero-Definitivo-2015.xls,ENERO
2015,1,2015-01,Fgl Granada-Jaen,FGL GRANADA-JAEN,Granada,46904,807,0,01.Enero-Definitivo-2015.xls,ENERO
2015,1,2015-01,Fuerteventura,FUERTEVENTURA,Las Palmas,369743,3214,76565,01.Enero-Definitivo-2015.xls,ENERO
2015,1,2015-01,Girona,GIRONA,Girona,49333,801,3470,01.Enero-Definitivo-2015.xls,ENERO
2015,1,2015-01,Gran Canaria,GRAN CANARIA,Las Palmas,981267,9243,1415647,01.Enero-Definitivo-2015.xls,ENERO
2015,1,2015-01,Huesca-Pirineos,HUESCA-PIRINEOS,Huesca,0,60,0,01.Enero-Definitivo-2015.xls,ENERO
2015,1,2015-01,Ibiza,IBIZA,Illes Balears,106430,1425,97599,01.Enero-Definitivo-2015.xls,ENERO
2015,1,2015-01,Jerez De La Frontera,JEREZ DE LA FRONTERA,Cadiz,22334,2684,4039,01.Enero-Definitivo-2015.xls,ENERO
2015,1,2015-01,La Gomera,LA GOMERA,Santa Cruz de Tenerife,2248,140,61,01.Enero-Definitivo-2015.xls,ENERO
2015,1,2015-01,La Palma,LA PALMA,Santa Cruz de Tenerife,73905,1246,54881,01.Enero-Definitivo-2015.xls,ENERO
2015,1,2015-01,Lanzarote,LANZAROTE,Las Palmas,451791,4046,149049,01.Enero-Definitivo-2015.xls,ENERO
2015,1,2015-01,Leon,LEON,Leon,1304,97,0,01.Enero-Definitivo-2015.xls,ENERO
2015,1,2015-01,Logrono,LOGRONO,La Rioja,795,92,0,01.Enero-Definitivo-2015.xls,ENERO
2015,1,2015-01,Madrid-Cuatro Vientos,MADRID-CUATRO VIENTOS,Madrid,141,2536,0,01.Enero-Definitivo-2015.xls,ENERO
2015,1,2015-01,Malaga-Costa Del Sol,MALAGA-COSTA DEL SOL,Malaga,644750,5776,180614,01.Enero-Definitivo-2015.xls,ENERO
2015,1,2015-01,Melilla,MELILLA,Melilla,23232,675,10031,01.Enero-Definitivo-2015.xls,ENERO
2015,1,2015-01,Menorca,MENORCA,Illes Balears,45693,800,111934,01.Enero-Definitivo-2015.xls,ENERO
2015,1,2015-01,Murcia-San Javier,MURCIA-SAN JAVIER,Murcia,19154,254,11,01.Enero-Definitivo-2015.xls,ENERO
2015,1,2015-01,Palma De Mallorca,PALMA DE MALLORCA,Illes Balears,565027,5952,689401,01.Enero-Definitivo-2015.xls,ENERO
2015,1,2015-01,Pamplona,PAMPLONA,Navarra,9532,379,262,01.Enero-Definitivo-2015.xls,ENERO
2015,1,2015-01,Reus,REUS,Tarragona,8807,776,0,01.Enero-Definitivo-2015.xls,ENERO
2015,1,2015-01,Sabadell,SABADELL,Barcelona,200,2039,0,01.Enero-Definitivo-2015.xls,ENERO
2015,1,2015-01,Salamanca,SALAMANCA,Salamanca,1024,324,0,01.Enero-Definitivo-2015.xls,ENERO
2015,1,2015-01,San Sebastian,SAN SEBASTIAN,Gipuzkoa,15064,447,0,01.Enero-Definitivo-2015.xls,ENERO
2015,1,2015-01,Santiago,SANTIAGO,A Coruna,126832,1322,175403,01.Enero-Definitivo-2015.xls,ENERO
2015,1,2015-01,Seve Ballesteros-Santander,SEVE BALLESTEROS-SANTANDER,Cantabria,39240,585,63,01.Enero-Definitivo-2015.xls,ENERO
2015,1,2015-01,Sevilla,SEVILLA,Sevilla,250559,3025,443533,01.Enero-Definitivo-2015.xls,ENERO
2015,1,2015-01,Son Bonet,SON BONET,Illes Balears,68,683,0,01.Enero-Definitivo-2015.xls,ENERO
2015,1,2015-01,Tenerife Norte,TENERIFE NORTE,Santa Cruz de Tenerife,262627,4076,804373,01.Enero-Definitivo-2015.xls,ENERO
