province,year_month,passengers,operations,cargo_kg,airport_count
A Coruna,2015-01,195679,2327,186321,2
A Coruna,2015-02,243743,2829,199408,2
A Coruna,2015-03,243743,2829,199408,2
A Coruna,2015-04,280137,2941,190207,2
A Coruna,2015-05,281708,3071,182321,2
A Coruna,2015-06,293707,3153,212093,2
A Coruna,2015-07,353839,3670,221464,2
A Coruna,2015-08,372176,3544,184725,2
A Coruna,2015-09,330533,3356,199273,2
A Coruna,2015-10,301076,3051,236398,2
A Coruna,2015-11,230159,2527,220385,2
A Coruna,2015-12,245343,2477,248885,2
A Coruna,2016-01,220206,2407,175454,2
A Coruna,2016-02,225948,2464,192681,2
A Coruna,2016-03,279624,2904,209544,2
A Coruna,2016-04,288515,3061,206784,2
A Coruna,2016-05,320967,3287,202437,2
A Coruna,2016-06,324144,3244,204877,2
A Coruna,2016-07,365878,3699,171266,2
A Coruna,2016-08,369608,3935,189293,2
A Coruna,2016-09,339255,3336,222802,2
A Coruna,2016-10,325743,3302,203066,2
A Coruna,2016-11,256277,2665,250765,2
A Coruna,2016-12,258620,2610,251970,2
A Coruna,2017-01,235515,2542,188921,2
A Coruna,2017-02,228044,2436,194687,2
A Coruna,2017-03,297707,3102,261926,2
A Coruna,2017-04,335502,3383,187031,2
A Coruna,2017-05,335814,3400,237903,2
A Coruna,2017-06,350854,3376,271975,2
A Coruna,2017-07,382336,3482,246759,2
A Coruna,2017-08,369320,3603,235105,2
A Coruna,2017-09,349847,3363,250541,2
A Coruna,2017-10,335657,3513,257119,2
A Coruna,2017-11,279736,2781,268465,2
A Coruna,2017-12,286419,2613,249988,2
A Coruna,2018-01,260803,2609,274065,2
A Coruna,2018-02,253742,2660,232413,2
A Coruna,2018-03,311816,2926,244185,2
A Coruna,2018-04,334533,3383,270400,2
A Coruna,2018-05,354487,3513,265735,2
A Coruna,2018-06,369012,3507,299796,2
A Coruna,2018-07,382829,3822,280102,2
A Coruna,2018-08,376924,3853,225305,2
A Coruna,2018-09,367984,3875,252846,2
A Coruna,2018-10,356520,3572,283342,2
A Coruna,2018-11,291931,2866,299361,2
A Coruna,2018-12,291630,2806,257318,2
A Coruna,2019-01,269968,2708,262472,2
A Coruna,2019-02,256134,2671,250158,2
A Coruna,2019-03,320296,3086,286262,2
A Coruna,2019-04,365206,3212,282290,2
A Coruna,2019-05,382094,3513,277591,2
A Coruna,2019-06,403718,3601,250449,2
A Coruna,2019-07,432162,3986,296231,2
A Coruna,2019-08,415925,3771,237603,2
A Coruna,2019-09,403073,3931,301599,2
A Coruna,2019-10,388846,3541,326153,2
A Coruna,2019-11,307076,2721,288894,2
A Coruna,2019-12,312188,2860,293817,2
A Coruna,2020-01,284246,2753,290907,2
A Coruna,2020-02,280633,2777,233584,2
A Coruna,2020-03,122413,1636,238792,2
A Coruna,2020-04,1389,176,5364,2
A Coruna,2020-05,990,408,50814,2
A Coruna,2020-06,13345,887,155127,2
A Coruna,2020-07,114197,2403,301483,2
A Coruna,2020-08,187008,3039,257652,2
A Coruna,2020-09,129336,2654,293544,2
A Coruna,2020-10,103839,2087,392426,2
A Coruna,2020-11,54692,1815,426841,2
A Coruna,2020-12,80082,1504,419063,2
A Coruna,2021-01,56899,1316,348179,2
A Coruna,2021-02,34503,1177,350732,2
A Coruna,2021-03,46638,1346,467859,2
A Coruna,2021-04,64192,1375,387299,2
A Coruna,2021-05,108980,1794,398354,2
A Coruna,2021-06,187648,2489,420056,2
A Coruna,2021-07,306351,3361,415685,2
A Coruna,2021-08,349889,3418,399958,2
A Coruna,2021-09,307551,3183,456544,2
A Coruna,2021-10,309742,3024,450069,2
A Coruna,2021-11,234980,2428,476712,2
A Coruna,2021-12,240874,2549,452255,2
A Coruna,2022-01,177596,2226,361083,2
A Coruna,2022-02,188662,2053,390584,2
A Coruna,2022-03,257550,2866,462062,2
A Coruna,2022-04,369721,3477,397694,2
A Coruna,2022-05,392423,3845,396438,2
A Coruna,2022-06,390598,3448,429683,2
A Coruna,2022-07,454165,4156,384397,2
A Coruna,2022-08,471192,4153,375951,2
A Coruna,2022-09,436982,3978,435358,2
A Coruna,2022-10,431580,3762,389106,2
A Coruna,2022-11,304078,2949,412352,2
A Coruna,2022-12,327936,2910,509739,2
A Coruna,2023-01,297240,2838,378750,2
