province,global_MAE,default_coastal_MAE,tuned_coastal_MAE,tuned_vs_global_MAE_improvement_percent
A Coruna,18979.88780362283,24960.298792304027,18090.930434782604,4.683680841730504
Alicante,123458.55487012997,141342.89828291867,130574.45215378421,-5.763794409500159
Almeria,26879.617887466127,35248.57555615483,28975.610406602253,-7.797702065227197
Asturias,31784.324215411507,34686.89867211223,31034.40199275361,2.3594090520077073
Barcelona,142405.90100063832,153976.42648445265,141491.9741143318,0.6417759937507267
Bizkaia,32989.33584818162,38943.803122376776,26498.104528985514,19.676756601190874
Cadiz,72642.12268401758,75103.45383220035,67086.73476247989,7.647612316758426
Cantabria,19592.596669196355,20870.688908303193,19670.257769726282,-0.3963798257125702
Castellon,41008.53720765078,45188.62022106852,49413.331964573255,-20.495231796159832
Ceuta,3478.4082592400873,12723.981621355026,6931.755112721417,-99.2795151146452
Gipuzkoa,31396.878628808798,36488.981293465025,35605.25322061193,-13.403799280676449
Girona,90887.13965426636,89750.6886812994,85266.04873188431,6.184693394208042
Granada,35028.53210625931,35212.264146476824,32248.347101449308,7.9369155303918735
Huelva,63067.008674962264,66633.10384992628,71129.01507648954,-12.783238924613697
Illes Balears,473210.995350834,495240.1058996115,416786.381803543,11.923774828067618
Las Palmas,165946.12456195848,138086.8744432647,132604.93413848637,20.09157520941303
Lugo,20421.905415021785,17516.458043931387,18278.94090177134,10.493460182584823
Malaga,185557.98387241995,160914.97097605077,162098.455032206,12.642694402383414
Melilla,13971.884746603371,12577.449223306217,9177.422302737523,34.315072954143886
Murcia,26115.964861869194,28830.991949749823,28493.262983091772,-9.10285388189341
Pontevedra,41523.492811956596,44811.568845350805,41806.16861916265,-0.680761150046267
Santa Cruz de Tenerife,61020.05325209305,108671.63019573744,116784.45382447656,-91.3870073859215
Tarragona,75876.00593439568,77229.16245609104,73028.72554347831,3.752543845519752
Valencia,119841.73850459389,153861.95928606275,131832.55630032203,-10.005543932649559
